adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/b4UTMzwPcuxwETFVGHqg2HDM5u3.jpg,"[12, 878, 10751]",294093,en,Dinosaur Island,"The adventure begins when Lucas, a 13 year old boy, embarks on the vacation of a lifetime. When disaster strikes, Lucas finds himself stranded in a strange land littered with ghost ships and prehistoric creatures. While searching for other signs of life, Lucas hears a radio broadcast in the distance and is drawn into the jungle where he encounters a beautiful young girl who claims to have come from the 1950s. Together they set out on a quest to get home all the while uncovering secrets that will forever change the future.",12.092,/xOe4S3eGogWQk4H8NhVe6eNJZSO.jpg,2014-12-01,Dinosaur Island,False,5.5,116
False,/kF5UhtIbadVqR0sfhzBBmwq8ToG.jpg,"[18, 10749]",47735,sv,Sommaren med Monika,"Monika from Stockholm falls in love with Harry, a young man on holiday. When she becomes pregnant they are forced into a marriage, which begins to fall apart soon after they take up residence in a cramped little flat.",10.197,/6qvTNj150vDF9RKhpI7r5e1hXYo.jpg,1953-02-09,Summer with Monika,False,7.4,248
False,/g4a5YLWwi6OCp8TcvxsUNrXMbN5.jpg,"[878, 28, 53, 12]",87101,en,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",123.244,/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,2015-06-23,Terminator Genisys,False,5.9,7152
False,/lV2UQv1qmiZA0tWsVjgFLD6z2uG.jpg,"[28, 80, 53]",82,en,Miami Vice,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",21.168,/iJPSls4taB09EUKtLj6FjFSprb3.jpg,2006-07-27,Miami Vice,False,5.9,1357
False,/rB4oTSg3PkH828b3hwn231brzwh.jpg,"[18, 9648, 53]",37233,en,The Firm,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",21.442,/kFexXCzidkm4LwlgZqxsJsDQB5v.jpg,1993-06-30,The Firm,False,6.7,1539
False,/9GRprCMQOWJzczPxqAaGxYft5m9.jpg,"[16, 35, 12, 10751]",218836,en,Planes: Fire & Rescue,"When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero.",37.155,/pOmteFeBDI9FJOPTDvYJYFeAtdp.jpg,2014-07-17,Planes: Fire & Rescue,False,6.2,666
False,/fYr0fqT9NImOuaN1QgnDHgGh4Ci.jpg,"[16, 10751, 12, 878]",10865,en,Atlantis: The Lost Empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea. The underwater expedition takes an unexpected turn when the team's mission must switch from exploring Atlantis to protecting it.",50.866,/iqGKNML7IUqw4wVNobkpkeYZbUQ.jpg,2001-06-02,Atlantis: The Lost Empire,False,6.9,3869
False,/jb2JDamfehPdKxJ7s1nt2VJWCJZ.jpg,[27],14564,en,Rings,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",57.86,/5FoczK6tDFzC9OyHiMMNIeNspek.jpg,2017-02-01,Rings,False,5,2224
False,/i2dj1xCRJyVRiKj19pOKzvzZoEN.jpg,"[12, 14]",68737,en,Seventh Son,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",78.698,/7Q8DfXSjcFSSQDOxz1Sk865wNqI.jpg,2014-12-12,Seventh Son,False,5.5,2163
False,/xK4Gbxz4HLwdzLkWBMG58fmGhL6.jpg,"[28, 35, 99]",110112,en,Nitro Circus: The Movie,"You will see Travis Pastrana and the whole Nitro Circus crew perform some of the most ridiculous, awe-inspiring, and simply insane stunts ever caught on camera. Coming to you in three dimensional glory, it will feel like you are there sitting shotgun with the crew.",7.672,/ofDDFfZ40dnGUPyjaDSPwqCQ12K.jpg,2012-08-08,Nitro Circus: The Movie,False,6.5,86
