adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/hMS9zdDOB7jLocxVb9wsOHK3Psv.jpg,"[10749, 16, 10751, 35, 12]",15789,en,A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",23.213,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,1995-04-07,A Goofy Movie,False,6.9,1358
False,/6VSss0C6xYmI7EteZIH9PkmsnF9.jpg,"[18, 35]",274479,en,Joy,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,13.553,/drHYguFkQO4nQQFUhRYqIbl45oT.jpg,2015-12-24,Joy,False,6.5,3565
False,/1RHFlMniSokkeXBg3EhjhNzCnJz.jpg,"[28, 53, 878]",7551,en,Déjà Vu,"Called in to recover evidence in the aftermath of a horrific explosion on a New Orleans ferry, Federal agent Doug Carlin gets pulled away from the scene and taken to a top-secret government lab that uses a time-shifting surveillance device to help prevent crime.",22.979,/eTX6hklzFOiEVqVukNCEedZKhix.jpg,2006-11-22,Déjà Vu,False,6.8,3792
False,/2J283YNxKhxAqHeVegUJ5mzLfGb.jpg,"[9648, 80, 18]",392044,en,Murder on the Orient Express,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,34.236,/iBlfxlw8qwtUS0R8YjIU7JtM6LM.jpg,2017-11-03,Murder on the Orient Express,False,6.7,8122
False,/tOTtJelsPKX0bvSdvDVL2ou3cGS.jpg,"[12, 10751, 14]",267935,en,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",42.492,/4zawxGJIH43DcoGG9Ui0WoIcrQC.jpg,2016-06-01,The BFG,False,6.2,2786
False,/bVVUstdTawtCF2RkB9awLNxPLXk.jpg,"[27, 53, 35]",71668,en,Piranha 3DD,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",31.313,/mv2Ej9WPVWivNvtMTTxgb07c7N9.jpg,2012-05-11,Piranha 3DD,False,4.3,799
False,/AeMtzbw7shxtLvwKKqeITabpTrD.jpg,"[10751, 12, 16, 35]",137116,en,Smurfs: The Lost Village,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",38.789,/diYAZ6CKUuRAqLYMB2AyVutEFm0.jpg,2017-03-23,Smurfs: The Lost Village,False,6.3,1173
False,/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,"[12, 18, 53]",44115,en,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,22.532,/h0RMdn0rfl9l5hWXz3tUh6QVkhi.jpg,2010-11-12,127 Hours,False,7.1,6268
False,/a0xTB1vBxMGt6LGG4N7k1wO9lfL.jpg,"[28, 12, 35, 878]",458897,en,Charlie's Angels,"When a systems engineer blows the whistle on a dangerous technology, Charlie's Angels from across the globe are called into action, putting their lives on the line to protect society.",38.118,/1DPUFG6QnGqzpvEaDEv7TaepycM.jpg,2019-11-14,Charlie's Angels,False,6.6,2375
False,/ziC23LkMYj8gToQQYQGWSGJCLNF.jpg,"[10751, 16, 35, 12]",82690,en,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",94.678,/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg,2012-01-01,Wreck-It Ralph,False,7.3,10474
False,/2O7qcKBJ9FpibQCx5qLxGeCs3f1.jpg,"[53, 18, 36]",97630,en,Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",21.958,/kA7JEMgCFjtStjf7YeZGgC8KtqF.jpg,2012-12-19,Zero Dark Thirty,False,7,3688
False,/ezTjyq71x2FDvt0L9Pwvf2unygN.jpg,"[878, 14, 28]",76757,en,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",63.768,/2NCcAZ3M3F0FxENYmammBknwpVn.jpg,2015-02-04,Jupiter Ascending,False,5.4,5805
False,/hND7xAaxxBgaIspp9iMsaEXOSTz.jpg,"[28, 18, 12]",98,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",55.579,/ehGpN04mLJIrSnxcZBMvHeG0eDc.jpg,2000-05-01,Gladiator,False,8.2,14833
